"RoleName","CompanyName","RoleType","Status","ProcessStatus","Source","AdvertisedSalary","URL","Location","Commute","ApplicationDate","Note"
"Senior Agile Delivery Manager","Workonomics","Permanent","Expired","Applied","JobBoard","£85K/yr - £100K/yr","https://www.linkedin.com/jobs/view/3890137057/?trackingId=9WBJ0QvbStedUqa1R%2BRL1w%3D%3D&refId=BeRIV5KtTCGxt0nOZBEpmw%3D%3D&midToken=AQHCoeH_Y6Hylw&midSig=1aNvIWOAJZIrc1&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body-null-11m6ht~lv1bixri~2d-null-null&eid=11m6ht-lv1bixri-2d&otpToken=MTQwNjFmZTgxMjI4Y2RjNWJlMmYwMmViNDUxY2U2YjE4N2NhZDI0OTlhYTY4NTYyNzVjZTA3NmQ0ZjUzNWRmMmZjOGNhZmJhNTNiNWNlODc1Y2EyN2M4Mjg5YzBlYjFmOTZjZDc3NWIwYWUyNTg5ZDEyLDEsMQ%3D%3D",,,16/04/24,
"IT Manager","Unknown","Permanent","Closed","Rejected","JobBoard","£75K",,,,15/04/24,
"Technical Project Manager","Builder.ai","Permanent","Closed","Rejected","JobBoard","Up to £70K",,,,02/04/24,
"Scrum Master","Pioneer Search","Contract","Expired","Applied","JobBoard","£600 daily - £700 daily","https://www.linkedin.com/jobs/view/3888069492/?midToken=AQHCoeH_Y6Hylw&midSig=2Kiuh1g0m_IXc1&trk=eml-email_application_confirmation_with_nba_01-jymbii-3-job_card_view&trkEmail=eml-email_application_confirmation_with_nba_01-jymbii-3-job_card_view-null-11m6ht%7Elv210eq3%7Eyr-null-neptune%2Fjobs%2Eview",,,16/04/24,
"Agile Coach","Candour Solutions","Permanent","Expired","Applied","JobBoard","Unknown","https://www.linkedin.com/jobs/view/3892441363/?midToken=AQHCoeH_Y6Hylw&midSig=2Kiuh1g0m_IXc1&trk=eml-email_application_confirmation_with_nba_01-jymbii-4-job_card_view&trkEmail=eml-email_application_confirmation_with_nba_01-jymbii-4-job_card_view-null-11m6ht%7Elv210eq3%7Eyr-null-neptune%2Fjobs%2Eview",,,16/04/24,
"Business Project Manager","Primis","Contract","Expired","Applied","JobBoard","£550/day Outside","https://www.linkedin.com/jobs/view/3897184234",,,16/04/24,
"Business Project Manager","i3","Contract","Expired","Applied","JobBoard","£81.25/hr ","https://www.linkedin.com/jobs/view/3899378395",,,16/04/24,
"Mini-Projects Manager","Hays Recruitment","Contract","Closed","Rejected","JobBoard","£600/yr - £700/yr","https://www.linkedin.com/jobs/view/3901874765","London","Hybrid",16/04/24,
"Agile Delivery Manager","Hays Recruitment","Contract","Expired","Applied","JobBoard","£500 - £650 Inside IR35","https://www.hays.co.uk/job-detail/agile-delivery-manager---product-london_4527603",,,17/04/24,
"Lean Programme Manager","Hays Recruitment","Contract","Expired","Applied","JobBoard","460 per day (Outside IR35)","https://www.hays.co.uk/job-detail/lean-programme-manager-%25E2%2580%2593-agile-scrum-delivery-assurance-london_4537916?q=",,,17/04/24,
"Project Manager","Hays Recruitment","Permanent","Expired","Applied","JobBoard","£90,000.00","https://www.hays.co.uk/job-detail/project-manager-farnborough_4515070/apply?applyId=JOB_5185912&jobTitle=Project%20Manager",,,17/04/24,
"Senior Delivery Manager- Housing Digital Transformation","Akton Recruitment Ltd","Contract","Expired","Applied","JobBoard","£549.20 per day","https://clicks.reed.co.uk/f/a/yP1wjqbajbxOkawZP0MF_A~~/AAAHagA~/RgRoALNjP0TkaHR0cHM6Ly93d3cucmVlZC5jby51ay9qb2JzL3Nlbmlvci1kZWxpdmVyeS1tYW5hZ2VyLWhvdXNpbmctZGlnaXRhbC10cmFuc2Zvcm1hdGlvbi81MjM4NjAzMT91dG1fc291cmNlPXRyYW5zYWN0aW9uYWwmdXRtX2NhbXBhaWduPWluX2pvX2IyY19lbV90cmFfcmV0X2FwcGxpY2F0aW9uX2pvYmFwcGxpY2F0aW9uY29uZmlybWF0aW9ucmVjcnVpdG1lbnRjb25zdWx0YW5jeSZ1dG1fbWVkaXVtPWVtYWlsVwVzcGNldUIKZhRjLh5mNfJGsFIXY2hyaXNtb3V0b243NEBnbWFpbC5jb21YBAAAALE~",,,17/04/24,
"Agile Delivery Manager","Triad Group","Permanent","Closed","Rejected","JobBoard","Unknown","Lon",,,02/04/24,
"Project Manager","Lorien","Contract","Expired","Applied","JobBoard","£400.00 - £425.00 per day","https://www.reed.co.uk/jobs/project-manager/52485261?utm_source=transactional&utm_campaign=in_jo_b2c_em_tra_ret_application_jobapplicationconfirmationrecruitmentconsultancy&utm_medium=email",,,17/04/24,
